obs,doy,date,time,air_temp,ES_1,ES_10,ES_11,ES_12,ES_3,ES_4,ES_5,ES_6,ES_8,avg_1t,avg_1tm,sub_t
1,144,2023-05-24,0:00:00,10.95333333,18.497,17.68875,17.3315,17.8075,16.61775,17.42675,17.54625,17.59375,18.4735,17.66175,17.68875,0.027
2,144,2023-05-24,1:00:00,10.325,17.97375,17.95025,16.7605,17.73625,16.3555,16.594,17.403,17.59375,18.2355,17.33153125,17.95025,0.61871875
3,144,2023-05-24,2:00:00,9.736666667,17.97375,18.04525,15.8315,17.4985,15.4965,14.995,17.284,17.57,17.92625,16.8219375,18.04525,1.2233125
4,144,2023-05-24,3:00:00,9.336666667,17.68875,18.1165,16.2605,17.21275,15.4965,16.6415,17.26025,17.59375,17.73625,16.98628125,18.1165,1.13021875
5,144,2023-05-24,4:00:00,8.891666667,17.57,17.92625,16.6175,16.99875,15.68825,15.258,17.284,17.665,17.59375,16.83440625,17.92625,1.09184375
6,144,2023-05-24,5:00:00,8.458333333,17.59375,17.78375,16.68925,16.7605,15.28225,16.30825,17.189,17.45075,17.427,16.83759375,17.78375,0.94615625
7,144,2023-05-24,6:00:00,8.529545455,17.2365,17.665,16.6655,16.59425,15.49725,16.2845,17.11775,17.30775,17.3315,16.754375,17.665,0.910625
8,144,2023-05-24,7:00:00,NA,17.26025,17.54625,16.2365,16.475,15.25825,16.165,17.0225,17.189,17.3315,16.61725,17.54625,0.929
9,144,2023-05-24,8:00:00,NA,17.189,17.427,16.04575,16.332,14.85225,16.04575,16.903,17.07025,17.35525,16.47415625,17.427,0.95284375
10,144,2023-05-24,9:00:00,NA,17.284,17.403,16.7605,16.42725,15.18675,16.046,17.09375,17.33175,17.59375,16.71546875,17.403,0.68753125
11,144,2023-05-24,10:00:00,NA,17.0225,17.475,16.83225,16.6655,15.6165,16.046,17.21275,17.403,17.665,16.8079375,17.475,0.6670625
12,144,2023-05-24,11:00:00,13.771875,17.02275,17.64125,16.475,16.7605,15.44925,15.54475,17.26025,17.3555,17.68875,16.69459375,17.64125,0.94665625
13,144,2023-05-24,12:00:00,14.585,17.07025,17.92625,16.951,16.90325,15.66425,15.8075,17.4745,17.4745,17.76,16.88815625,17.92625,1.03809375
14,144,2023-05-24,13:00:00,15.46166667,16.99875,18.3785,17.3315,17.07,15.9745,16.59425,17.76,17.665,17.95,17.168,18.3785,1.2105
