date,hour,ES_1_temp,ES_1_lux,ES_10_temp,ES_10_lux,ES_11_temp,ES_11_lux,ES_12_temp,ES_12_lux,ES_3_temp,ES_3_lux,ES_4_temp,ES_4_lux,ES_5_temp,ES_5_lux,ES_6_temp,ES_6_lux,ES_7_temp,ES_7_lux,ES_8_temp,ES_8_lux,ES_9_temp,ES_9_lux
5/24/2023,0:00:00,18.497,0,17.68875,0,17.3315,0,17.8075,0,16.61775,0,17.42675,0,17.54625,0,17.59375,0,17.57,0,18.4735,0,18.4735,0
5/24/2023,1:00:00,17.97375,0,17.95025,0,16.7605,0,17.73625,0,16.3555,0,16.594,0,17.403,0,17.59375,0,17.57,0,18.2355,0,18.25925,0
5/24/2023,2:00:00,17.97375,0,18.04525,0,15.8315,0,17.4985,0,15.4965,0,14.995,0,17.284,0,17.57,0,17.57,0,17.92625,0,17.95,0
5/24/2023,3:00:00,17.68875,0,18.1165,0,16.2605,0,17.21275,0,15.4965,0,16.6415,0,17.26025,0,17.59375,0,17.59375,0,17.73625,0,17.78375,0
5/24/2023,4:00:00,17.57,0,17.92625,0,16.6175,0,16.99875,0,15.68825,0,15.258,0,17.284,0,17.665,0,17.59375,0,17.59375,0,17.6175,0
5/24/2023,5:00:00,17.59375,67.275,17.78375,32.3,16.68925,43.05,16.7605,0,15.28225,69.975,16.30825,48.425,17.189,67.3,17.45075,75.35,17.427,137.225,17.427,91.5,17.427,164.15
5/24/2023,6:00:00,17.2365,1310.5,17.665,600.1,16.6655,702.35,16.59425,0,15.49725,1130.2,16.2845,1038.725,17.11775,1001.025,17.30775,1189.4,17.2365,2238.9,17.3315,1571.575,17.3315,2809.375
5/24/2023,7:00:00,17.26025,3401.425,17.54625,1372.425,16.2365,1550,16.475,0,15.25825,2712.5,16.165,3078.5,17.0225,2777.1,17.189,3573.65,17.11775,6415.3,17.3315,4219.475,17.403,8008.375
5/24/2023,8:00:00,17.189,6587.55,17.427,2023.625,16.04575,2303.475,16.332,0,14.85225,4348.65,16.04575,4994.475,16.903,4348.625,17.07025,6888.925,17.0225,19633.475,17.35525,6802.8,17.4985,14811.25
5/24/2023,9:00:00,17.284,11022.325,17.403,2798.625,16.7605,3466,16.42725,0,15.18675,7922.275,16.046,11280.625,17.09375,13777.85,17.33175,15672.325,17.3795,21183.475,17.59375,17739.025,17.8075,24800.15
5/24/2023,10:00:00,17.0225,9213.95,17.475,4348.625,16.83225,5511.125,16.6655,0,15.6165,10677.85,16.046,10850.1,17.21275,11883.4,17.403,11711.2,17.403,19805.675,17.665,11883.4,17.8075,23077.95
5/24/2023,11:00:00,17.02275,7750.025,17.64125,5209.75,16.475,4580.025,16.7605,0,15.44925,11108.4,15.54475,11108.425,17.26025,11625.075,17.3555,11366.775,17.403,18600.1,17.68875,12486.2,17.855,27383.525
5/24/2023,12:00:00,17.07025,6802.8,17.92625,6802.8,16.951,9213.975,16.90325,0,15.66425,15844.575,15.8075,15844.575,17.4745,16361.25,17.4745,16189,17.56975,25144.625,17.76,12400.1,17.9975,26866.85
5/24/2023,13:00:00,16.99875,5554.175,18.3785,12055.625,17.3315,14811.2,17.07,0,15.9745,17394.55,16.59425,23250.175,17.76,17394.575,17.665,26866.85,17.76,26177.95,17.95,12486.2,18.188,31172.4
5/24/2023,14:00:00,17.189,7836.175,18.44975,9127.825,17.21275,9300.05,16.4035,0,16.189,11366.75,17.14125,8094.5,17.68875,11452.875,17.6175,7663.925,17.665,14466.775,18.0925,12400.1,18.212,24972.4
5/24/2023,15:00:00,17.0225,6544.475,18.30725,5597.25,17.2365,6113.925,16.237,0,16.57,8094.5,17.47475,5381.975,17.59375,7922.275,17.64125,5855.575,17.59375,10161.175,18.045,9300.05,18.14,17222.325
5/24/2023,16:00:00,17.284,13433.425,18.7585,8955.6,17.47475,9558.4,16.165,0,16.02225,6975.05,17.427,2540.3,17.83125,13605.65,17.54625,2411.125,17.47475,4025.725,18.02125,11883.4,18.16425,16877.9
5/24/2023,17:00:00,17.26025,4090.325,18.49725,4133.375,16.97475,4606.95,16.11725,0,16.45125,4004.2,17.451,1614.575,17.57,4736.15,17.427,1614.575,17.35525,2777.125,17.73625,4650.025,17.78375,8266.7
5/24/2023,18:00:00,17.1415,2755.575,18.40225,2626.375,17.1415,2884.75,16.02225,0,16.4515,2798.625,17.30775,1342.8,17.40325,2454.175,17.37925,1439.675,17.284,2497.225,17.5225,3616.675,17.57,5769.5
5/24/2023,19:00:00,16.97475,1184.05,18.23575,1065.625,17.0465,1149.05,15.83125,0,16.73675,1205.55,17.2365,656.6,17.21275,1017.175,17.16525,737.35,17.189,1237.85,17.3315,1485.425,17.427,2432.65
5/24/2023,20:00:00,16.999,121.125,18.045,86.1,16.95125,96.875,15.85525,0,16.927,129.175,17.16525,88.8,17.094,123.8,17.07025,104.95,17.094,191.05,17.2365,158.775,17.26025,293.325
5/24/2023,21:00:00,16.975,0,17.87875,0,16.90325,0,16.18925,0,16.87925,0,16.99875,0,16.90325,0,17.02275,0,16.999,0,17.094,0,17.1415,0
5/24/2023,22:00:00,16.808,0,17.8075,0,16.73675,0,16.237,0,16.78425,0,16.78425,0,16.713,0,16.83175,0,16.83175,0,16.92725,0,16.92725,0
5/24/2023,23:00:00,16.68925,0,17.665,0,16.59425,0,16.141,0,16.57025,0,16.64175,0,16.618,0,16.713,0,16.68925,0,16.5705,0,16.73675,0
5/25/2023,0:00:00,16.5705,0,17.5225,0,16.475,0,16.046,0,16.451,0,16.52275,0,16.52275,0,16.64175,0,16.618,0,16.427,0,16.618,0
5/25/2023,1:00:00,16.451,0,17.30775,0,16.40325,0,15.927,0,16.2845,0,16.2845,0,16.427,0,16.64175,0,16.54675,0,16.35575,0,16.451,0
5/25/2023,2:00:00,16.35575,0,17.16525,0,16.30825,0,15.75975,0,16.141,0,16.07,0,16.332,0,16.451,0,16.40325,0,16.189,0,16.332,0
5/25/2023,3:00:00,16.213,0,17.02275,0,16.0935,0,15.56875,0,16.02225,0,15.903,0,16.2365,0,16.332,0,16.2845,0,15.9985,0,16.16525,0
5/25/2023,4:00:00,16.046,0,16.83175,0,16.02225,0,15.44925,0,15.90275,0,15.736,0,16.0935,0,16.213,0,16.141,0,15.927,0,16.06975,0
5/25/2023,5:00:00,15.951,172.225,16.6655,56.525,15.9985,69.95,15.33,0,15.78375,104.95,15.688,113.025,15.903,104.95,15.9985,201.825,15.9985,398.275,15.97475,234.125,16.02225,422.5
5/25/2023,6:00:00,15.951,1708.775,16.54675,290.625,15.855,341.75,15.282,0,15.712,543.575,15.688,958,15.78375,554.325,16.02225,2413.825,15.97475,2884.725,15.97475,1536.55,15.9985,3336.825
5/25/2023,7:00:00,16.06975,6070.85,16.451,433.25,15.712,489.775,15.25825,0,15.59275,836.9,15.78375,2949.325,15.76,866.5,16.23675,8525.05,16.14125,12529.25,16.1175,3702.8,16.21275,12400.1
5/25/2023,8:00:00,16.28425,16102.9,16.35575,672.75,15.56875,581.25,15.354,0,15.54475,1036.025,15.9745,5855.6,15.8315,4448.225,16.475,19719.575,16.475,25489.05,16.37975,9472.275,16.61775,21355.725
5/25/2023,9:00:00,16.451,17050.125,16.237,643.15,15.85525,1654.975,15.54475,0,15.83125,9558.4,16.33175,12486.225,16.40375,18858.475,16.7845,47705.85,16.85575,54250.35,16.713,17566.8,16.99875,27900.175
5/25/2023,10:00:00,16.4035,15715.375,16.4035,734.625,16.14125,2214.7,15.75975,0,16.30825,18255.7,16.618,20839.025,16.97475,20839.05,17.0465,47189.2,17.37925,58900.4,16.6175,17050.1,17.26025,38578.05
5/25/2023,11:00:00,16.332,1512.325,16.90325,9682.175,16.4985,1127.5,16.02225,0,16.57,32722.425,17.1415,28244.625,17.3795,24455.7,17.28425,35822.45,17.736,35133.55,16.52275,18772.35,17.308,56489.25
5/25/2023,12:00:00,16.47475,1237.85,17.284,4502.025,17.5935,15578.125,16.23675,0,17.094,22561.275,17.427,38922.475,17.73625,23766.825,17.71225,31344.625,18.331,52700.325,16.7605,20925.125,17.42675,28933.5
5/25/2023,13:00:00,16.59425,1318.6,17.855,28933.525,18.521,21355.7,16.475,0,17.71225,41333.6,17.78375,27727.975,18.35475,34961.35,18.045,22561.25,18.5685,53733.675,16.78425,21872.35,17.3315,44433.6
5/25/2023,14:00:00,16.78475,10225.75,17.9975,21011.25,18.5685,15241.775,16.7605,0,18.3545,24972.4,17.52225,9300.05,18.44975,32033.525,17.6175,12895.225,17.99775,14208.4,16.8555,48136.425,17.284,39266.95
5/25/2023,15:00:00,17.094,17050.125,18.02125,23250.175,18.82975,22389.025,16.85575,0,18.68725,16016.775,17.64125,2572.575,18.6635,26005.725,17.76,1964.425,18.5685,10634.775,16.903,29450.225,17.284,36511.35
5/25/2023,16:00:00,17.189,11538.925,18.02125,11883.425,18.92475,13950.075,16.951,0,18.40225,10936.15,18.37825,1937.525,18.68725,16361.2,18.0215,995.675,18.28325,1829.875,17.0225,15672.3,17.8075,25489.075
5/25/2023,17:00:00,16.95075,7147.25,17.92625,2970.85,18.63975,8611.175,17.11775,0,18.2835,5640.325,19.187,718.5,18.331,10204.225,18.30675,723.85,18.49725,1235.175,17.04625,12916.75,17.90275,14294.55
5/25/2023,18:00:00,17.07025,3013.9,17.855,2518.775,17.9265,4176.4,17.07025,0,18.16425,2325.025,19.11575,573.2,18.63975,2970.85,18.02125,632.375,18.14025,1046.775,16.8555,1525.775,17.02275,2260.45
5/25/2023,19:00:00,16.90325,1461.2,17.6175,820.75,17.974,1741.075,17.094,0,18.2835,1202.875,18.97225,414.425,19.0915,745.4,17.97375,511.3,17.9975,834.225,16.927,1009.15,17.0465,1636.1
5/25/2023,20:00:00,16.7605,279.85,17.37925,94.2,18.4735,239.525,17.094,0,18.4735,234.125,18.82975,110.325,18.7585,177.6,17.8075,164.15,17.855,285.25,16.927,320.2,16.975,527.45
5/25/2023,21:00:00,16.59425,0,17.284,0,18.236,0,17.094,0,18.23575,0,18.6635,0,18.1165,0,17.68875,0,17.83125,0,16.808,0,16.83175,0
5/25/2023,22:00:00,16.68925,0,17.21275,0,18.04525,0,17.094,0,18.11625,0,18.521,0,17.9025,0,17.879,0,18.30725,0,16.6655,0,16.713,0
5/25/2023,23:00:00,16.49875,0,17.11775,0,17.8075,0,17.094,0,18.045,0,18.30725,0,17.78375,0,18.06875,0,18.21175,0,16.59425,0,16.6655,0
5/26/2023,0:00:00,16.451,0,17.094,0,17.5935,0,16.999,0,17.97375,0,18.14,0,17.57,0,17.95,0,17.95,0,16.52275,0,16.713,0
5/26/2023,1:00:00,16.42725,0,16.999,0,17.308,0,16.927,0,17.7125,0,18.06875,0,17.403,0,17.7125,0,17.64125,0,16.54675,0,16.713,0
5/26/2023,2:00:00,16.618,0,16.8555,0,17.33175,0,16.8555,0,17.64125,0,17.92625,0,17.3315,0,17.45075,0,17.403,0,16.451,0,16.64175,0
5/26/2023,3:00:00,16.52275,0,16.713,0,16.7845,0,16.7605,0,17.57,0,17.76,0,17.21275,0,17.26025,0,17.189,0,16.5705,0,16.64175,0
5/26/2023,4:00:00,16.35575,0,16.59425,0,17.11775,0,16.6655,0,17.37925,0,17.4985,0,17.094,0,17.02275,0,16.99875,0,16.499,0,16.52275,0
5/26/2023,5:00:00,16.2845,145.325,16.4035,26.9,16.951,67.275,16.5705,0,17.2365,104.95,17.35525,104.95,16.975,96.875,16.903,207.2,16.903,352.525,16.30825,207.2,16.35575,376.75
5/26/2023,6:00:00,16.237,1652.275,16.2845,145.3,16.87925,333.7,16.523,0,17.1415,530.125,17.2365,990.275,16.87925,524.775,16.927,2650.625,16.927,4047.25,16.189,1835.275,16.35575,3401.425
5/26/2023,7:00:00,16.37975,4607,16.141,215.3,16.7605,476.325,16.5705,0,16.975,809.975,17.403,2346.525,16.78425,844.975,17.1415,7922.275,17.1415,10591.75,16.42725,4477.8,16.57025,10075.075
5/26/2023,8:00:00,16.713,11452.85,16.141,390.175,16.59425,583.925,16.7605,0,17.09375,1044.1,17.49875,6157,16.832,5040.225,17.3315,18083.45,17.47475,21872.375,16.92725,9730.625,17.189,21700.15
5/26/2023,9:00:00,16.927,13347.325,16.1175,336.375,16.85575,1197.475,16.713,0,17.5695,10311.85,17.73625,14380.65,17.61725,20322.375,17.546,23077.925,17.8075,34100.2,17.42725,12658.4,17.76,31172.4
5/26/2023,10:00:00,17.1175,28675.175,16.4275,376.7,17.33175,1875.625,16.92725,0,18.28325,25661.275,17.97375,20322.35,18.28325,26522.4,17.76,21183.475,18.23525,32033.55,17.54625,22905.725,18.02125,48566.975
5/26/2023,11:00:00,17.35575,1593.05,16.85575,13239.7,17.83125,1116.75,17.189,0,18.87725,23077.95,17.99775,26694.625,18.735,34789.125,17.87875,28244.625,18.3785,38233.6,17.59375,22733.5,18.06875,48566.975
5/26/2023,12:00:00,17.855,1657.625,16.97475,2917.05,18.6635,16791.775,17.52225,0,19.1395,29450.2,18.806,32377.975,19.2345,42366.95,17.97375,23594.625,18.94875,40989.175,17.52225,20752.925,18.11625,58555.925
5/26/2023,13:00:00,18.4735,1786.8,17.56975,14466.775,19.16325,16016.775,17.9975,0,19.54325,28072.4,19.18675,22733.5,19.6145,28244.65,18.09275,33928,19.377,52355.9,17.52225,28244.65,18.164,52355.9
5/26/2023,14:00:00,18.7825,7965.35,17.83125,17652.9,19.377,19805.7,18.25975,0,19.4245,30827.95,18.87725,8998.675,19.7815,22905.7,17.42675,3875.025,18.61575,5511.15,17.5225,24111.25,18.06875,48911.425
5/26/2023,15:00:00,19.7815,16275.125,18.02125,9730.625,19.71,16619.575,18.21175,0,19.59075,44691.95,18.94875,2537.6,19.80525,31689.1,16.90325,4870.7,18.80625,4951.4,17.475,17394.55,18.045,37200.25
5/26/2023,16:00:00,19.61475,16533.45,17.9975,13950.075,19.63825,19547.35,18.14025,0,19.567,10634.825,19.06775,1609.25,19.472,34789.125,16.8795,971.45,18.78225,1759.9,17.427,14811.225,17.9975,30311.325
5/26/2023,17:00:00,19.948,9429.225,17.9975,4779.2,19.591,12055.65,18.236,0,19.70975,4951.4,19.282,656.6,19.187,16102.875,16.99825,731.95,18.61575,1229.75,17.7125,8675.75,18.616,13519.525
5/26/2023,18:00:00,19.686,3250.725,17.95,2411.15,19.4245,3767.375,18.236,0,19.59075,2755.55,19.4245,530.125,18.8535,3272.225,17.5935,624.325,18.4735,1022.575,17.76,1625.35,18.212,2432.675
5/26/2023,19:00:00,18.85375,1490.8,17.855,734.65,19.30575,1595.775,18.212,0,19.59075,1057.575,19.49575,279.875,18.59225,920.325,18.06875,476.325,18.44975,764.225,17.59375,979.525,18.426,1447.75
5/26/2023,20:00:00,18.35475,250.25,17.57,83.425,19.187,223.35,18.236,0,19.567,199.125,19.8055,104.925,18.59225,174.925,18.16425,148.025,18.3785,242.175,17.8075,290.625,18.21175,427.875
5/26/2023,21:00:00,18.2835,0,17.52225,0,19.16325,0,18.236,0,19.472,0,19.686,0,18.616,0,18.426,0,18.49725,0,17.7125,0,18.14,0
5/26/2023,22:00:00,18.307,0,17.54625,0,18.94875,0,18.25975,0,19.30575,0,19.59075,0,18.59225,0,18.40225,0,18.6635,0,17.95,0,18.045,0
5/26/2023,23:00:00,17.855,0,17.451,0,18.78225,0,18.188,0,19.187,0,19.40075,0,18.44975,0,18.30725,0,18.5685,0,17.8075,0,17.9975,0
5/27/2023,0:00:00,17.9025,0,17.475,0,18.59225,0,18.06875,0,18.99625,0,19.21075,0,18.331,0,18.2835,0,18.40225,0,17.64125,0,17.83125,0
5/27/2023,1:00:00,18.212,0,17.403,0,18.3785,0,17.9975,0,18.78225,0,19.09175,0,18.164,0,18.212,0,18.212,0,17.64125,0,17.7125,0
5/27/2023,2:00:00,18.045,0,17.30775,0,18.236,0,17.87875,0,18.5685,0,18.97225,0,18.02125,0,18.045,0,18.045,0,17.47475,0,17.7125,0
5/27/2023,3:00:00,17.87875,0,17.189,0,18.11625,0,17.73625,0,18.44975,0,18.806,0,17.855,0,17.9025,0,17.9025,0,17.451,0,17.665,0
5/27/2023,4:00:00,17.78375,0,17.094,0,18.045,0,17.64125,0,18.35475,0,18.616,0,17.78375,0,17.78375,0,17.76,0,17.379,0,17.54625,0
5/27/2023,5:00:00,17.6175,153.4,16.927,29.6,17.95,67.275,17.54625,0,18.188,104.95,18.44975,115.725,17.59375,115.725,17.68875,242.2,17.64125,441.325,17.2365,244.875,17.427,425.175
5/27/2023,6:00:00,17.475,1560.75,16.8555,145.3,17.95,309.45,17.475,0,18.11625,478.975,18.331,957.975,17.57,530.15,17.665,2583.375,17.6175,3831.95,17.21275,1805.675,17.427,3121.55
5/27/2023,7:00:00,17.59375,4563.9,16.7605,223.375,17.855,438.65,17.54625,0,18.14,753.475,18.3785,2346.55,17.49875,850.35,17.83125,8309.8,17.83125,11625.05,17.427,4951.4,17.7125,10419.525
5/27/2023,8:00:00,17.9025,10247.3,16.713,460.175,17.68875,527.4,17.73625,0,18.06875,944.55,18.44975,5683.35,17.57,2209.3,18.14025,14036.175,18.188,45983.65,17.855,9558.4,18.1165,18169.575
5/27/2023,9:00:00,18.21175,13777.875,16.73675,360.6,17.76,1189.4,17.87875,0,18.49725,5704.9,18.78225,13605.65,18.3545,19116.775,18.30725,22905.725,18.521,37028.05,18.212,12400.1,18.6635,33411.325
