sample,date,time,pel_16_temp,pel_16_lux,pel_17_temp,pel_17_lux.,pel_avg_temp,pel_avg_lux,ES_1_temp,ES_1_lux,ES_10_temp,ES_10_lux,ES_11_temp,ES_11_lux,ES_12_temp,ES_12_lux,ES_3_temp,ES_3_lux,ES_4_temp,ES_4_lux,ES_5_temp,ES_5_lux,ES_6_temp,ES_6_lux,ES_7_temp,ES_7_lux,ES_8_temp,ES_8_lux,ES_9_temp,ES_9_lux
1,2023-05-24,0:00,17.95,0,17.665,0,17.8075,0,18.901,0,17.855,0,17.95,0,17.855,0,16.237,0,16.713,0,17.57,0,17.475,0,17.57,0,18.521,0,18.521,0
2,2023-05-24,0:15,17.95,0,17.665,0,17.8075,0,18.616,0,17.475,0,17.855,0,17.76,0,16.332,0,18.045,0,17.57,0,17.665,0,17.57,0,18.521,0,18.521,0
3,2023-05-24,0:30,17.855,0,17.665,0,17.76,0,18.521,0,17.665,0,16.713,0,17.855,0,17.189,0,17.284,0,17.57,0,17.665,0,17.57,0,18.426,0,18.426,0
4,2023-05-24,0:45,17.665,0,17.665,0,17.665,0,17.95,0,17.76,0,16.808,0,17.76,0,16.713,0,17.665,0,17.475,0,17.57,0,17.57,0,18.426,0,18.426,0
5,2023-05-24,1:00,17.57,0,17.57,0,17.57,0,18.045,0,17.76,0,16.903,0,17.76,0,16.808,0,16.618,0,17.475,0,17.665,0,17.57,0,18.331,0,18.426,0
6,2023-05-24,1:15,17.57,0,17.665,0,17.6175,0,17.76,0,17.95,0,17.189,0,17.76,0,16.618,0,16.523,0,17.379,0,17.57,0,17.57,0,18.331,0,18.331,0
7,2023-05-24,1:30,17.475,0,17.665,0,17.57,0,18.14,0,17.855,0,16.523,0,17.76,0,16.141,0,16.141,0,17.379,0,17.57,0,17.57,0,18.14,0,18.14,0
8,2023-05-24,1:45,17.379,0,17.57,0,17.4745,0,17.95,0,18.236,0,16.427,0,17.665,0,15.855,0,17.094,0,17.379,0,17.57,0,17.57,0,18.14,0,18.14,0
9,2023-05-24,2:00,17.284,0,17.57,0,17.427,0,17.95,0,18.236,0,15.76,0,17.57,0,16.237,0,15.76,0,17.379,0,17.57,0,17.57,0,18.045,0,18.045,0
10,2023-05-24,2:15,17.189,0,17.475,0,17.332,0,17.95,0,18.14,0,15.76,0,17.57,0,14.709,0,15.282,0,17.284,0,17.57,0,17.57,0,17.855,0,17.95,0
11,2023-05-24,2:30,17.189,0,17.475,0,17.332,0,18.045,0,18.045,0,15.951,0,17.475,0,14.613,0,14.517,0,17.284,0,17.57,0,17.57,0,17.95,0,17.95,0
12,2023-05-24,2:45,17.189,0,17.379,0,17.284,0,17.95,0,17.76,0,15.855,0,17.379,0,16.427,0,14.421,0,17.189,0,17.57,0,17.57,0,17.855,0,17.855,0
13,2023-05-24,3:00,17.284,0,17.379,0,17.3315,0,17.76,0,18.14,0,16.523,0,17.284,0,15.664,0,16.808,0,17.189,0,17.57,0,17.57,0,17.76,0,17.855,0
14,2023-05-24,3:15,17.189,0,17.379,0,17.284,0,17.665,0,18.236,0,16.237,0,17.284,0,14.421,0,16.618,0,17.284,0,17.665,0,17.57,0,17.76,0,17.76,0
15,2023-05-24,3:30,17.189,0,17.379,0,17.284,0,17.665,0,18.14,0,16.141,0,17.189,0,15.855,0,16.903,0,17.284,0,17.57,0,17.57,0,17.76,0,17.76,0
16,2023-05-24,3:45,17.189,0,17.379,0,17.284,0,17.665,0,17.95,0,16.141,0,17.094,0,16.046,0,16.237,0,17.284,0,17.57,0,17.665,0,17.665,0,17.76,0
17,2023-05-24,4:00,17.189,0,17.379,0,17.284,0,17.665,0,17.95,0,16.141,0,17.094,0,15.951,0,15.855,0,17.284,0,17.665,0,17.665,0,17.665,0,17.665,0
18,2023-05-24,4:15,17.189,0,17.379,0,17.284,0,17.57,0,17.95,0,16.332,0,16.999,0,15.76,0,14.804,0,17.284,0,17.665,0,17.665,0,17.665,0,17.665,0
19,2023-05-24,4:30,17.189,0,17.284,0,17.2365,0,17.475,0,17.95,0,17.094,0,16.999,0,15.569,0,14.709,0,17.284,0,17.665,0,17.57,0,17.57,0,17.57,0
20,2023-05-24,4:45,17.284,0,17.284,0,17.284,0,17.57,0,17.855,0,16.903,0,16.903,0,15.473,0,15.664,0,17.284,0,17.665,0,17.475,0,17.475,0,17.57,0
21,2023-05-24,5:00,17.189,0,17.189,0,17.189,0,17.665,0,17.855,0,16.713,0,16.808,0,15.378,0,16.427,0,17.189,0,17.665,0,17.475,0,17.475,0,17.475,0
22,2023-05-24,5:15,17.189,21.5,17.189,0,17.189,10.75,17.665,0,17.855,0,16.713,0,16.808,0,15.187,10.8,16.237,0,17.189,10.8,17.475,10.8,17.475,21.5,17.475,10.8,17.475,21.5
23,2023-05-24,5:30,17.189,172.2,17.189,64.6,17.189,118.4,17.57,96.9,17.76,32.3,16.618,64.6,16.713,0,15.282,107.6,16.237,75.3,17.189,96.9,17.284,118.4,17.379,226,17.379,118.4,17.379,193.8
24,2023-05-24,5:45,17.094,290.6,17.189,129.2,17.1415,209.9,17.475,172.2,17.665,96.9,16.713,107.6,16.713,0,15.282,161.5,16.332,118.4,17.189,161.5,17.379,172.2,17.379,301.4,17.379,236.8,17.379,441.3
25,2023-05-24,6:00,17.094,688.9,17.094,355.2,17.094,522.05,17.379,505.9,17.665,269.1,16.713,290.6,16.618,0,15.378,452.1,16.332,344.4,17.189,409,17.379,441.3,17.284,785.8,17.379,667.4,17.379,1162.5
26,2023-05-24,6:15,16.999,1151.7,17.094,527.4,17.0465,839.55,17.379,775,17.665,473.6,16.713,516.7,16.618,0,15.378,796.5,16.332,602.8,17.094,678.1,17.284,613.5,17.284,1194.8,17.284,968.8,17.284,1808.3
27,2023-05-24,6:30,16.999,2152.8,17.094,1022.6,17.0465,1587.7,17.094,1463.9,17.665,721.2,16.618,936.5,16.618,0,15.569,1463.9,16.237,1313.2,17.094,1280.9,17.284,1463.9,17.189,2497.2,17.284,1894.5,17.284,2927.8
28,2023-05-24,6:45,17.094,2755.6,17.189,1463.9,17.1415,2109.75,17.094,2497.2,17.665,936.5,16.618,1065.6,16.523,0,15.664,1808.3,16.237,1894.5,17.094,1636.1,17.284,2238.9,17.189,4477.8,17.379,2755.6,17.379,5338.9
29,2023-05-24,7:00,17.094,3444.5,17.094,1808.3,17.094,2626.4,17.284,2755.6,17.57,1205.6,16.618,1377.8,16.523,0,15.473,2238.9,16.237,2066.7,17.094,2152.8,17.284,2927.8,17.189,5338.9,17.379,3444.5,17.379,6200
