obs,doy,date,time,air_temp,McD_1,McD_10,McD_3,McD_4,McD_5,McD_7,McD_8,avg_1t,avg_1tm,sub_t
1,144,2023-05-24,0:00:00,10.95333333,18.9485,18.6635,18.7585,18.806,18.2355,17.665,19.282,18.21175,18.7871,0.57535
2,144,2023-05-24,1:00:00,10.325,18.7585,18.5685,18.711,18.7585,18.5685,17.6175,19.044,18.16425,18.7396,0.57535
3,144,2023-05-24,2:00:00,9.736666667,18.5685,18.616,18.5685,18.5685,18.4735,17.427,18.711,17.99775,18.5875,0.58975
4,144,2023-05-24,3:00:00,9.336666667,18.426,18.4735,18.426,18.4735,18.426,17.379,18.331,17.9025,18.426,0.5235
5,144,2023-05-24,4:00:00,8.891666667,18.2355,18.3785,18.2355,18.331,18.236,17.427,18.0925,17.83125,18.2547,0.42345
6,144,2023-05-24,5:00:00,8.458333333,18.14,18.2835,18.045,18.1405,18.045,17.3315,17.76,17.68825,18.0738,0.38555
7,144,2023-05-24,6:00:00,8.529545455,18.0925,18.0925,17.95,18.045,18.0925,17.2365,17.3315,17.59325,17.9308,0.33755
8,144,2023-05-24,7:00:00,NA,17.9025,17.9025,17.9025,17.76,17.9975,17.1415,17.2365,17.522,17.7598,0.2378
9,144,2023-05-24,8:00:00,NA,17.76,17.7125,17.855,17.665,17.76,17.3315,17.094,17.59325,17.5983,0.00505
10,144,2023-05-24,9:00:00,NA,17.7125,17.57,17.7125,17.665,17.8075,17.3315,17.046,17.522,17.5602,0.0382
11,144,2023-05-24,10:00:00,NA,17.8075,18.045,17.7125,17.76,18.1405,17.6175,17.9025,17.665,17.9311,0.2661
12,144,2023-05-24,11:00:00,13.771875,18.045,18.521,17.9025,17.9025,18.331,17.76,18.6635,17.83125,18.2926,0.46135
13,144,2023-05-24,12:00:00,14.585,18.2355,18.8535,17.9975,18.045,18.426,18.0925,19.044,18.045,18.5208,0.4758
14,144,2023-05-24,13:00:00,15.46166667,18.426,18.901,18.188,18.14,18.331,17.855,19.282,18.0215,18.616,0.5945
15,144,2023-05-24,14:00:00,16.035,18.521,18.901,18.2835,18.236,18.521,17.76,19.377,18.02175,18.7112,0.68945
16,144,2023-05-24,15:00:00,16.05833333,18.3785,18.8535,18.331,18.331,18.4735,17.8075,19.282,18.06925,18.6637,0.59445
17,144,2023-05-24,16:00:00,15.95166667,18.331,18.711,18.236,18.331,18.3785,17.9025,19.0915,18.06925,18.5686,0.49935
18,144,2023-05-24,17:00:00,15.76666667,18.236,18.6635,18.236,18.331,18.236,18.188,18.8535,18.212,18.464,0.252
19,144,2023-05-24,18:00:00,14.94,18.14,18.521,18.236,18.236,18.331,18.188,18.806,18.212,18.4068,0.1948
20,144,2023-05-24,19:00:00,12.975,18.0925,18.426,18.14,18.188,18.188,18.188,18.6635,18.164,18.3116,0.1476
21,144,2023-05-24,20:00:00,12.49833333,18.0925,18.2835,18.0925,18.0925,18.0925,18.0925,18.4735,18.0925,18.2069,0.1144
22,144,2023-05-24,21:00:00,11.95666667,17.9975,18.188,17.95,17.9975,17.9975,17.9975,18.236,17.97375,18.0833,0.10955
23,144,2023-05-24,22:00:00,10.68166667,17.8075,17.9975,17.9025,17.855,17.8075,17.9025,17.9975,17.9025,17.893,-0.0095
24,144,2023-05-24,23:00:00,9.146666667,17.7125,17.95,17.8075,17.76,17.6175,17.8075,17.4745,17.8075,17.7029,-0.1046
25,145,2023-05-25,0:00:00,6.901666667,17.57,17.76,17.7125,17.7125,17.6175,17.665,17.046,17.68875,17.5412,-0.14755
