date,hour,McD_1_temp,McD_1_lux,McD_10_temp,McD_10_lux,McD_2_temp,McD_2_lux,McD_3_temp,McD_3_lux,McD_4_temp,McD_4_lux,McD_5_temp,McD_5_lux,McD_6_temp,McD_6_lux,McD_7_temp,McD_7_lux,McD_8_temp,McD_8_lux
5/24/2023,0:00:00,18.9485,0,18.6635,0,18.901,0,18.7585,0,18.806,0,18.2355,0,18.521,0,17.665,0,19.282,0
5/24/2023,1:00:00,18.7585,0,18.5685,0,18.7585,0,18.711,0,18.7585,0,18.5685,0,18.711,0,17.6175,0,19.044,0
5/24/2023,2:00:00,18.5685,0,18.616,0,18.5685,0,18.5685,0,18.5685,0,18.4735,0,18.5685,0,17.427,0,18.711,0
5/24/2023,3:00:00,18.426,0,18.4735,0,18.3785,0,18.426,0,18.4735,0,18.426,0,18.521,0,17.379,0,18.331,0
5/24/2023,4:00:00,18.2355,0,18.3785,0,18.2355,0,18.2355,0,18.331,0,18.236,0,18.331,0,17.427,0,18.0925,0
5/24/2023,5:00:00,18.14,10.75,18.2835,16.15,18.14,21.55,18.045,10.75,18.1405,5.4,18.045,16.15,18.188,21.55,17.3315,10.75,17.76,5.4
5/24/2023,6:00:00,18.0925,662,18.0925,807.3,18.045,904.15,17.95,516.7,18.045,425.15,18.0925,699.65,18.188,909.55,17.2365,425.15,17.3315,355.2
5/24/2023,7:00:00,17.9025,2152.8,17.9025,2454.15,17.9025,2841.7,17.9025,1722.2,17.76,1420.85,17.9975,2411.1,18.0925,3100,17.1415,1410.1,17.2365,1334.75
5/24/2023,8:00:00,17.76,2540.3,17.7125,3013.9,17.76,3444.45,17.855,2023.65,17.665,1765.3,17.76,3013.9,17.9025,4133.35,17.3315,1894.45,17.094,1636.1
5/24/2023,9:00:00,17.7125,4477.8,17.57,5941.7,17.76,5683.35,17.7125,3444.45,17.665,2712.5,17.8075,6372.25,18.045,11883.4,17.3315,5683.35,17.046,3616.7
5/24/2023,10:00:00,17.8075,5683.4,18.045,13433.4,17.855,7405.6,17.7125,4391.7,17.76,3530.6,18.1405,16189,18.521,46155.85,17.6175,16533.45,17.9025,6716.7
5/24/2023,11:00:00,18.045,8955.6,18.521,21700.15,18.0925,10505.65,17.9025,6200.05,17.9025,5166.7,18.331,19289,18.616,32378,17.76,18944.55,18.6635,9644.5
5/24/2023,12:00:00,18.2355,13433.4,18.8535,25489.05,18.331,16877.9,17.9975,9472.3,18.045,6716.7,18.426,28244.65,18.7585,41333.6,18.0925,23422.4,19.044,17911.25
5/24/2023,13:00:00,18.426,13605.6,18.901,15500.1,18.521,18255.7,18.188,10677.85,18.14,7750.05,18.331,14466.75,18.5685,25833.5,17.855,11194.55,19.282,7405.6
5/24/2023,14:00:00,18.521,10677.85,18.901,13433.45,18.616,16533.45,18.2835,7750.05,18.236,7405.6,18.521,11711.2,18.711,16533.45,17.76,8266.75,19.377,11538.95
5/24/2023,15:00:00,18.3785,6544.45,18.8535,8438.95,18.4735,9472.25,18.331,5080.55,18.331,4563.9,18.4735,7233.35,18.616,10505.65,17.8075,4736.15,19.282,6544.45
5/24/2023,16:00:00,18.331,4133.35,18.711,5080.55,18.3785,5941.7,18.236,3272.25,18.331,2927.8,18.3785,4391.7,18.5685,6372.25,17.9025,2884.75,19.0915,4305.55
5/24/2023,17:00:00,18.236,2583.35,18.6635,3272.25,18.331,3788.95,18.236,2066.65,18.331,1851.4,18.236,2970.85,18.426,4047.25,18.188,1808.35,18.8535,2798.6
5/24/2023,18:00:00,18.14,1894.45,18.521,2325.05,18.236,2583.35,18.236,1474.65,18.236,1297.05,18.331,2109.75,18.426,2970.85,18.188,1383.15,18.806,1894.45
5/24/2023,19:00:00,18.0925,721.2,18.426,898.8,18.188,1027.95,18.14,570.5,18.188,489.75,18.188,785.75,18.331,1103.3,18.188,511.25,18.6635,721.2
5/24/2023,20:00:00,18.0925,252.95,18.2835,322.9,18.045,371.35,18.0925,199.1,18.0925,172.25,18.0925,274.45,18.188,419.75,18.0925,193.75,18.4735,263.75
5/24/2023,21:00:00,17.9975,0,18.188,0,18.045,0,17.95,0,17.9975,0,17.9975,0,18.0925,0,17.9975,0,18.236,0
5/24/2023,22:00:00,17.8075,0,17.9975,0,17.95,0,17.9025,0,17.855,0,17.8075,0,17.9975,0,17.9025,0,17.9975,0
5/24/2023,23:00:00,17.7125,0,17.95,0,17.8075,0,17.8075,0,17.76,0,17.6175,0,17.855,0,17.8075,0,17.4745,0
5/25/2023,0:00:00,17.57,0,17.76,0,17.7125,0,17.7125,0,17.7125,0,17.6175,0,17.8075,0,17.665,0,17.046,0
5/25/2023,1:00:00,17.332,0,17.57,0,17.427,0,17.427,0,17.6175,0,17.427,0,17.6175,0,17.57,0,16.713,0
5/25/2023,2:00:00,17.189,0,17.427,0,17.3315,0,17.3315,0,17.427,0,17.379,0,17.57,0,17.3315,0,16.237,0
5/25/2023,3:00:00,16.951,0,17.2365,0,17.1415,0,17.094,0,17.3315,0,17.1415,0,17.427,0,17.284,0,15.903,0
5/25/2023,4:00:00,16.8555,0,17.0465,0,17.094,0,16.999,0,17.189,0,17.0465,0,17.284,0,17.1415,0,15.664,0
5/25/2023,5:00:00,16.6655,80.75,16.9035,86.1,16.903,113,16.8555,59.2,17.0465,53.8,16.8555,80.75,17.1415,123.8,16.999,48.45,15.521,80.75
5/25/2023,6:00:00,16.5225,688.9,16.7605,861.1,16.808,914.95,16.7605,721.2,16.903,473.65,16.808,694.3,17.094,1044.1,16.8555,484.35,15.569,974.15
5/25/2023,7:00:00,16.5705,1108.65,16.713,2152.8,16.8555,1420.85,16.808,1420.85,16.808,688.9,16.713,1173.3,16.951,1894.45,16.808,1733,15.664,1937.5
5/25/2023,8:00:00,16.5705,1232.45,16.713,3530.6,16.808,1506.95,16.6655,1243.25,16.7605,748.05,16.9035,1808.35,17.094,3530.55,16.9035,6011.65,15.8075,4219.45
5/25/2023,9:00:00,16.618,1420.85,16.951,5252.8,16.8555,1808.35,16.713,1426.2,16.8555,839.6,16.999,7319.5,17.379,20322.35,17.284,18944.6,16.475,6027.8
5/25/2023,10:00:00,16.7605,1679.15,17.3795,16877.9,17.1415,2152.8,16.6655,1297.05,16.8555,952.6,17.3795,24455.7,17.95,40644.7,17.57,18600.15,17.427,13777.9
5/25/2023,11:00:00,17.0465,2755.6,17.665,25489.1,17.189,2411.15,16.8555,1372.4,17.094,2023.6,17.9025,24800.2,18.378,37200.25,18.0455,24800.2,18.283,19977.9
5/25/2023,12:00:00,17.427,9644.5,17.9025,42711.4,17.665,11452.85,17.2365,9041.7,17.1415,2411.15,18.2835,46844.75,18.8535,69578.25,18.521,31689.1,18.806,27555.75
5/25/2023,13:00:00,18.1405,32378,18.331,39266.95,18.331,53733.7,17.6175,36511.35,17.5225,13088.95,18.5685,42022.5,19.139,43400.3,18.949,32378,19.472,39955.85
