sample,date,time,pel_1_temp,pel_1_lux,pel_6_temp,pel_6_lux,avg_pel_temp,avg_pel_lux,McD_1_temp,McD_1_lux,McD_10_temp,McD_10_lux,McD_2_temp,McD_2_lux,McD_3_temp,McD_3_lux,McD_4_temp,McD_4_lux,McD_5_temp,McD_5_lux,McD_6_temp,McD_6_lux,McD_7_temp,McD_7_lux,McD_8_temp,McD_8_lux
1,2023-05-24,0:00,18.616,0,18.426,0,18.521,0,18.996,0,18.806,0,18.901,0,18.711,0,18.806,0,18.045,0,18.236,0,17.475,0,19.377,0
2,2023-05-24,0:30,18.616,0,18.521,0,18.5685,0,18.901,0,18.521,0,18.901,0,18.806,0,18.806,0,18.426,0,18.806,0,17.855,0,19.187,0
3,2023-05-24,1:00,18.521,0,18.521,0,18.521,0,18.806,0,18.521,0,18.806,0,18.711,0,18.806,0,18.616,0,18.806,0,17.76,0,19.092,0
4,2023-05-24,1:30,18.331,0,18.331,0,18.331,0,18.711,0,18.616,0,18.711,0,18.711,0,18.711,0,18.521,0,18.616,0,17.475,0,18.996,0
5,2023-05-24,2:00,18.426,0,18.331,0,18.3785,0,18.616,0,18.616,0,18.616,0,18.616,0,18.616,0,18.426,0,18.521,0,17.475,0,18.711,0
6,2023-05-24,2:30,18.426,0,18.426,0,18.426,0,18.521,0,18.616,0,18.521,0,18.521,0,18.521,0,18.521,0,18.616,0,17.379,0,18.711,0
7,2023-05-24,3:00,18.426,0,18.426,0,18.426,0,18.426,0,18.521,0,18.426,0,18.426,0,18.426,0,18.521,0,18.616,0,17.379,0,18.426,0
8,2023-05-24,3:30,18.331,0,18.426,0,18.3785,0,18.426,0,18.426,0,18.331,0,18.426,0,18.521,0,18.331,0,18.426,0,17.379,0,18.236,0
9,2023-05-24,4:00,18.14,0,18.045,0,18.0925,0,18.331,0,18.426,0,18.331,0,18.331,0,18.331,0,18.236,0,18.331,0,17.379,0,18.14,0
10,2023-05-24,4:30,18.14,0,18.14,0,18.14,0,18.14,0,18.331,0,18.14,0,18.14,0,18.331,0,18.236,0,18.331,0,17.475,0,18.045,0
11,2023-05-24,5:00,18.045,0,17.95,0,17.9975,0,18.14,0,18.331,0,18.14,0,18.045,0,18.236,0,18.045,0,18.14,0,17.379,0,17.855,0
12,2023-05-24,5:30,17.855,43.1,17.76,0,17.8075,21.55,18.14,21.5,18.236,32.3,18.14,43.1,18.045,21.5,18.045,10.8,18.045,32.3,18.236,43.1,17.284,21.5,17.665,10.8
13,2023-05-24,6:00,18.14,161.5,17.76,0,17.95,80.75,18.14,118.4,18.14,150.7,18.045,172.2,17.95,96.9,18.14,75.3,18.14,139.9,18.236,183,17.284,75.3,17.379,64.6
14,2023-05-24,6:30,18.045,1377.8,18.045,161.5,18.045,769.65,18.045,1205.6,18.045,1463.9,18.045,1636.1,17.95,936.5,17.95,775,18.045,1259.4,18.14,1636.1,17.189,775,17.284,645.8
15,2023-05-24,7:00,17.95,2755.6,18.045,344.4,17.9975,1550,17.95,2066.7,18.045,2497.2,17.95,2755.6,17.95,1636.1,17.76,1377.8,18.045,2325,18.14,2927.8,17.094,1356.3,17.189,1291.7
